job,fit,cmplx,gens,seed,gen,activation,IO,arch,
job_1,970,25,200,0,200,linear,0.5,std,
job_10,713,7,200,0,200,sigmoid,0.1-0.4,std,
job_11,713,7,200,0,200,sigmoid,0.1,std,
job_12,713,7,200,0,200,sigmoid,0,std,
job_13,995,21,68,0,200,linear,0.5,spat_mod,
job_14,713,6,200,0,200,linear,0.1-0.4,spat_mod,
job_15,899,22,200,0,200,linear,0.1,spat_mod,
job_16,284,7,200,0,200,linear,0,spat_mod,
job_17,807,11,200,0,200,tanh,0.5,spat_mod,
job_18,806,15,200,0,200,tanh,0.1-0.4,spat_mod,
job_19,995,22,115,0,200,tanh,0.1,spat_mod,
job_2,878,10,200,0,200,linear,0.1-0.4,std,
job_20,284,7,200,0,200,tanh,0,spat_mod,
job_21,759,11,200,0,200,sigmoid,0.5,spat_mod,
job_22,759,11,200,0,200,sigmoid,0.1-0.4,spat_mod,
job_23,713,7,200,0,200,sigmoid,0.1,spat_mod,
job_24,713,7,200,0,200,sigmoid,0,spat_mod,
job_25,713,7,200,0,200,linear,0.5,topo_mod,
job_26,713,7,200,0,200,linear,0.1-0.4,topo_mod,
job_27,854,13,200,0,200,linear,0.1,topo_mod,
job_28,284,7,200,0,200,linear,0,topo_mod,
job_29,713,7,200,0,200,tanh,0.5,topo_mod,
job_3,852,20,200,0,200,linear,0.1,std,
job_30,713,7,200,0,200,tanh,0.1-0.4,topo_mod,
job_31,713,7,200,0,200,tanh,0.1,topo_mod,
job_32,284,7,200,0,200,tanh,0,topo_mod,
job_33,713,7,200,0,200,sigmoid,0.5,topo_mod,
job_34,713,7,200,0,200,sigmoid,0.1-0.4,topo_mod,
job_35,713,7,200,0,200,sigmoid,0.1,topo_mod,
job_36,713,7,200,0,200,sigmoid,0,topo_mod,
job_4,284,7,200,0,200,linear,0,std,
job_5,713,7,200,0,200,tanh,0.5,std,
job_6,713,7,200,0,200,tanh,0.1-0.4,std,
job_7,713,7,200,0,200,tanh,0.1,std,
job_8,284,7,200,0,200,tanh,0,std,
job_9,713,7,200,0,200,sigmoid,0.5,std,
